
                     mean       std    median      5.0%     95.0%     n_eff     r_hat
       z_mu[64]      0.08      0.46      0.09     -0.65      0.85   1920.77      1.00
       z_mu[65]      1.68      0.38      1.69      1.07      2.33   1157.18      1.00
       z_mu[66]      0.98      0.28      0.99      0.47      1.40   1056.87      1.00
       z_mu[67]      2.34      0.31      2.32      1.85      2.87    654.02      1.00
       z_mu[68]      0.40      0.34      0.40     -0.13      0.97   1425.93      1.00
       z_mu[69]     -0.92      0.73     -0.92     -2.09      0.34   2804.25      1.00
       z_mu[70]     -0.90      0.61     -0.89     -1.83      0.17   2959.48      1.00
       z_mu[71]     -0.32      0.68     -0.34     -1.45      0.79   1912.73      1.00
       z_mu[72]      0.64      0.62      0.62     -0.36      1.66   2630.94      1.00
       z_mu[73]     -1.06      0.65     -1.06     -2.06      0.02   2554.42      1.00
       z_mu[74]     -0.55      0.97     -0.57     -2.06      1.09   4353.67      1.00
       z_mu[75]      1.40      0.34      1.40      0.88      1.96    878.56      1.00
       z_mu[76]     -0.36      0.64     -0.34     -1.53      0.54   1818.11      1.00
       z_mu[77]     -0.28      0.54     -0.27     -1.11      0.66   2470.16      1.00
       z_mu[78]      0.52      0.68      0.54     -0.68      1.58   2109.27      1.00
       z_mu[79]      0.12      0.34      0.12     -0.46      0.64   1665.81      1.00
       z_mu[80]     -0.26      0.73     -0.28     -1.53      0.79   2716.11      1.00
       z_mu[81]      0.25      0.41      0.25     -0.44      0.86   1888.62      1.00
       z_mu[82]      0.31      0.33      0.32     -0.20      0.86   1316.16      1.00
       z_mu[83]     -0.42      0.71     -0.42     -1.64      0.61   2070.98      1.00
       z_mu[84]     -0.81      0.72     -0.81     -2.04      0.31   2794.85      1.00
       z_mu[85]     -0.25      0.47     -0.24     -0.93      0.63   1923.67      1.00
       z_mu[86]     -0.59      0.78     -0.58     -1.88      0.64   2472.11      1.00
       z_mu[87]      0.96      0.29      0.96      0.53      1.48   1263.09      1.00
       z_mu[88]     -0.81      0.80     -0.83     -2.09      0.50   3368.62      1.00
       z_mu[89]      0.72      0.35      0.73      0.18      1.31   1626.18      1.00
       z_mu[90]     -0.36      0.75     -0.35     -1.55      0.89   2541.20      1.00
       z_mu[91]      1.41      0.29      1.43      0.92      1.86   1171.76      1.00
       z_mu[92]     -0.42      0.81     -0.41     -1.69      0.87   2730.26      1.00
       z_mu[93]      1.45      0.33      1.46      0.90      1.98   1076.44      1.00
       z_mu[94]      1.59      0.31      1.58      1.07      2.08    986.37      1.00
       z_mu[95]     -0.30      0.63     -0.30     -1.31      0.69   1992.10      1.00
       z_mu[96]     -0.06      0.34     -0.07     -0.64      0.46   1485.55      1.00
       z_mu[97]     -1.12      0.69     -1.12     -2.21      0.04   3516.07      1.00
       z_mu[98]     -0.49      0.89     -0.50     -1.93      1.00   1867.50      1.00
       z_mu[99]      0.50      0.38      0.50     -0.10      1.13   1544.14      1.00
      z_mu[100]     -0.54      0.94     -0.56     -2.04      0.95   2684.43      1.00
      z_mu[101]      0.55      0.31      0.55      0.05      1.06   1417.51      1.00
      z_mu[102]      0.02      0.32      0.02     -0.46      0.54   1205.97      1.00
      z_mu[103]     -0.39      0.59     -0.39     -1.29      0.62   2122.08      1.00
      z_mu[104]      0.14      0.37      0.15     -0.42      0.75   1830.89      1.00
      z_mu[105]      0.57      0.49      0.56     -0.13      1.42   2182.11      1.00
      z_mu[106]     -0.53      0.81     -0.56     -1.92      0.71   2655.04      1.00
      z_mu[107]     -0.54      0.93     -0.53     -2.17      0.90   2174.59      1.00
      z_mu[108]     -0.95      0.56     -0.96     -1.85     -0.00   2638.84      1.00
      z_mu[109]      1.26      0.36      1.26      0.61      1.78   1438.61      1.00
      z_mu[110]     -0.61      0.39     -0.61     -1.33     -0.02   1273.43      1.00
