parameter,mean,std,median,5.0%,95.0%,n_eff,r_hat,player_id,player_name
beta_mu[0],2.650407552719116,0.4732280373573303,2.649679183959961,2.1761314868927,3.125500202178955,1.0010054324927182,852.3111572265625,,
beta_mu[1],1.3986256122589111,0.3304392099380493,1.3984193801879883,1.067577600479126,1.7312065362930298,1.0010079510749328,460.08258056640625,,
beta_mu[2],0.19290848076343536,0.3615727722644806,0.19257639348506927,-0.17029935121536255,0.5559342503547668,1.001007534414279,424.8193359375,,
beta_mu[3],-0.5882048606872559,0.10119810700416565,-0.5872715711593628,-0.6908494830131531,-0.4857941269874573,1.0010591285357207,122.17621612548828,,
beta_sigma[0],0.2001166194677353,0.11524202674627304,0.19970926642417908,0.08436768501996994,0.31775912642478943,1.0010661363454116,127.52625274658203,,
beta_sigma[1],0.058379922062158585,0.045416541397571564,0.05956488847732544,0.010785293765366077,0.1043168231844902,1.0014591496979424,74.47140502929688,,
beta_sigma[2],0.015221984125673771,0.02228347584605217,0.013906823471188545,-0.008162467740476131,0.04067382588982582,1.0049397444491772,20.27764892578125,,
beta_sigma[3],-0.02872254140675068,0.09758525341749191,-0.028875485062599182,-0.12702706456184387,0.06987085938453674,1.0010377710141507,147.22938537597656,,
log_sigma_pos,1.876330852508545,0.0153249092400074,1.8754026889801025,1.8604092597961426,1.8931565284729004,1.0029824291627933,24.54648780822754,,
mu_pos,9.131808280944824,0.3106943666934967,9.131267547607422,8.820249557495117,9.44316577911377,1.0010068506185024,613.1051635742188,,
nu_offset,6812.1767578125,3768.17626953125,6811.2705078125,3045.880859375,10579.4765625,1.0010010635707032,3661.591796875,,
tau_mu,0.05342512205243111,0.05258936434984207,0.0533493310213089,0.0008608223288320005,0.1060573160648346,1.0010016316858372,1143.6600341796875,,
tau_sigma,0.018929414451122284,0.016729475930333138,0.018903011456131935,0.002204406075179577,0.035669565200805664,1.001001517424434,1289.3682861328125,,
z_mu[0],0.10879679769277573,0.005792906973510981,0.10963908582925797,0.1017911359667778,0.11560815572738647,1.0181748448946464,7.241944789886475,00-0022921,Larry Fitzgerald
z_mu[1],-0.015206927433609962,0.349247545003891,-0.014911770820617676,-0.3659738600254059,0.33497557044029236,1.0010058611200567,552.51513671875,00-0025396,Ted Ginn
z_mu[2],-0.014794624410569668,0.8895688652992249,-0.014751553535461426,-0.9049388766288757,0.875490128993988,1.0010017648377554,1596.0322265625,00-0026035,Danny Amendola
z_mu[3],0.7646952271461487,0.21813437342643738,0.7636436223983765,0.545781672000885,0.9836817383766174,1.0010090199515733,351.45318603515625,00-0026189,DeSean Jackson
z_mu[4],-0.3947991728782654,0.12103993445634842,-0.39412081241607666,-0.5177677869796753,-0.27307969331741333,1.0010439909094764,154.86204528808594,00-0027150,Julian Edelman
z_mu[5],-0.2100381702184677,0.6928924322128296,-0.2115825116634369,-0.9036338329315186,0.4845147430896759,1.0010033293917675,672.3624877929688,00-0027685,Emmanuel Sanders
z_mu[6],-0.10197532176971436,0.7743496894836426,-0.10181021690368652,-0.8767783641815186,0.6731252670288086,1.0010015000367554,1312.1641845703125,00-0027691,Andre Roberts
z_mu[7],0.0143104437738657,0.5321068167686462,0.014277815818786621,-0.5178390741348267,0.5473531484603882,1.0010022906860223,886.4537963867188,00-0027793,Antonio Brown
z_mu[8],0.10437457263469696,0.32120513916015625,0.10528610646724701,-0.21933560073375702,0.42637497186660767,1.001015673811943,449.6920166015625,00-0027891,Golden Tate
